id,latitude,longitude
38740,5.06920960,-75.51385600
38741,5.06920960,-75.51385600
38742,5.06920960,-75.51385600
38743,5.06920960,-75.51385600
38808,5.06920960,-75.51385600
38782,5.06920960,-75.51385600
38745,5.06920960,-75.51385600
38747,5.06920960,-75.51385600
38748,5.06920960,-75.51385600
38749,5.06920960,-75.51385600
38750,5.06920960,-75.51385600
38752,5.06920960,-75.51385600
38751,5.06920960,-75.51385600
38753,5.06920960,-75.51385600
38754,5.06920960,-75.51385600
38755,5.06920960,-75.51385600
38763,5.06920960,-75.51385600
38758,5.06920960,-75.51385600
38803,5.06920960,-75.51385600
38761,5.06920960,-75.51385600
38760,5.06920960,-75.51385600
38762,5.06920960,-75.51385600
38765,5.06920960,-75.51385600
38766,5.06920960,-75.51385600
38770,5.06920960,-75.51385600
38769,5.06920960,-75.51385600
38771,5.06920960,-75.51385600
38773,5.06920960,-75.51385600
38796,5.06920960,-75.51385600
38774,5.06920960,-75.51385600
38775,5.06920960,-75.51385600
38776,5.06920960,-75.51385600
38777,5.06920960,-75.51385600
38779,5.06920960,-75.51057920
38778,5.06920960,-75.51385600
38780,5.06920960,-75.51385600
38783,5.06920960,-75.51385600
38784,5.06920960,-75.51385600
38785,5.06920960,-75.51385600
38786,5.06920960,-75.51385600
38787,5.06920960,-75.51385600
38805,5.06920960,-75.51385600
38788,5.06920960,-75.51385600
38789,5.06920960,-75.51385600
38790,5.06920960,-75.51385600
38797,5.06920960,-75.51385600
38791,5.06920960,-75.51385600
38795,5.06920960,-75.51385600
38792,5.06920960,-75.51385600
38793,5.06920960,-75.51385600
38794,5.06920960,-75.51385600
38798,5.06920960,-75.51385600
38818,5.06920960,-75.51057920
38799,5.06920960,-75.51385600
38800,5.06920960,-75.51385600
38801,5.06920960,-75.51385600
38802,5.06920960,-75.51385600
38804,5.06920960,-75.51385600
38806,5.06920960,-75.51385600
38809,5.06920960,-75.51385600
38811,5.06920960,-75.51057920
38810,5.06920960,-75.51057920
38815,5.06920960,-75.51057920
38812,5.06920960,-75.51057920
38813,5.06920960,-75.51057920
38814,5.07248640,-75.51713280
38816,5.06920960,-75.51057920
38817,5.06920960,-75.51057920
38819,5.06920960,-75.51057920
38821,5.07248640,-75.51713280
38822,5.06920960,-75.51057920
38823,5.06920960,-75.51057920
38824,5.07248640,-75.51713280
38825,5.07248640,-75.51713280
38826,5.07248640,-75.51713280
38827,5.07248640,-75.51713280
38834,5.07248640,-75.51713280
38828,5.07248640,-75.51713280
38829,5.07248640,-75.51713280
38830,5.07248640,-75.51713280
38835,5.07248640,-75.51713280
38831,5.07248640,-75.51713280
38832,5.07248640,-75.51713280
38836,5.07248640,-75.51713280
38837,5.07248640,-75.51713280
38838,5.07248640,-75.51713280
38839,5.07248640,-75.51713280
38840,5.07248640,-75.51713280
38841,5.07248640,-75.51713280
38843,5.07248640,-75.51713280
38844,5.07248640,-75.51713280
38845,5.07248640,-75.51713280
38846,5.07248640,-75.51713280
38847,5.07248640,-75.51713280
38848,5.07248640,-75.51713280
38849,5.07248640,-75.51713280
38850,5.07248640,-75.51713280
38851,5.07248640,-75.51713280
38853,5.07248640,-75.51713280
38854,5.07248640,-75.51713280
38855,5.06920960,-75.51385600
38856,5.06920960,-75.51385600
38857,5.06920960,-75.51385600
38859,5.06920960,-75.51385600
38861,5.06920960,-75.51385600
38860,5.06920960,-75.51385600
38862,5.06920960,-75.51385600
38863,5.06920960,-75.51385600
38865,5.06920960,-75.51385600
38864,5.06920960,-75.51385600
38872,5.06920960,-75.51385600
38866,5.06920960,-75.51385600
38867,5.06920960,-75.51385600
38869,5.06920960,-75.51385600
38868,5.06920960,-75.51057920
38895,5.06920960,-75.51057920
38870,5.06920960,-75.51385600
38871,5.06920960,-75.51057920
38873,5.06920960,-75.51385600
38874,5.06920960,-75.51385600
38875,5.06920960,-75.51385600
38876,5.06920960,-75.51057920
38877,5.06920960,-75.51385600
38878,5.06920960,-75.51385600
38898,5.06920960,-75.51057920
38894,5.06920960,-75.51057920
38879,5.06920960,-75.51385600
38880,5.06920960,-75.51385600
38886,5.06920960,-75.51057920
38881,5.06920960,-75.51385600
38882,5.06920960,-75.51385600
38883,5.06920960,-75.51385600
38884,5.06920960,-75.51385600
38885,5.06920960,-75.51385600
38888,5.06920960,-75.51057920
38889,5.06920960,-75.51057920
38890,5.06920960,-75.51057920
38891,5.06920960,-75.51057920
38893,5.06920960,-75.51057920
38896,5.06920960,-75.51057920
38897,5.06920960,-75.51057920
38899,5.06920960,-75.51057920
38900,5.06920960,-75.51057920
38901,5.06920960,-75.51057920
38902,5.06920960,-75.51057920
38904,5.06920960,-75.51057920
38903,5.06920960,-75.51057920
38905,5.06920960,-75.51057920
38906,5.06920960,-75.51057920
38907,5.06920960,-75.51057920
38908,5.06920960,-75.51057920
38909,5.06920960,-75.51057920
38910,5.06920960,-75.50730240
38911,5.06920960,-75.51057920
38912,5.06920960,-75.51057920
38914,5.06920960,-75.51057920
38913,5.06920960,-75.50730240
38916,5.06920960,-75.50730240
38915,5.06920960,-75.50730240
38917,5.06920960,-75.50730240
38919,5.06920960,-75.50730240
38920,5.06920960,-75.50730240
38922,5.06920960,-75.50730240
38930,5.06920960,-75.50730240
38961,5.06920960,-75.50730240
38923,5.06920960,-75.50730240
38925,5.07248640,-75.51385600
38927,5.06920960,-75.50730240
